Day,Temp_Max,Temp_Avg,Temp_Min,Dew_Max,Dew_Avg,Dew_Min,Hum_Max,Hum_Avg,Hum_Min,Wind_Max,Wind_Avg,Wind_Min,Press_Max,Press_Avg,Press_Min,Precip_Total
1,81,75.6,69,72,69.4,67,95,80.9,70,7,4.3,2,26.8,26.8,26.7,0.04
2,83,75.5,68,71,69.3,68,99,81.9,64,6,3.6,2,26.8,23.4,0.0,0.0
3,82,75.7,71,75,71.0,69,98,85.4,66,3,2.3,0,26.8,23.0,0.0,0.0
4,83,74.3,69,75,71.1,69,98,90.4,71,5,2.4,0,26.8,26.8,26.7,1.77
5,83,75.1,70,74,70.5,69,98,86.8,64,9,3.8,0,26.8,26.8,26.7,0.63
6,81,75.1,70,73,70.1,68,96,85.5,72,5,2.8,2,26.8,26.8,26.7,0.06
7,81,65.8,0,73,71.3,69,98,76.6,0,5,2.9,2,26.8,26.8,26.7,0.98
8,82,75.9,72,73,71.4,70,95,86.3,71,3,2.1,2,26.9,26.8,26.8,0.0
9,81,74.4,70,73,70.6,69,96,88.4,74,6,2.8,2,26.9,26.8,26.8,0.0
10,75,71.4,69,72,69.4,68,98,93.6,80,3,2.6,2,26.9,26.8,26.8,0.19
11,80,72.8,68,72,68.8,67,98,88.4,73,3,2.8,2,26.9,26.8,26.8,0.63
12,77,72.4,68,69,68.0,67,96,86.8,76,7,4.8,3,26.8,26.8,26.7,0.12
13,72,69.6,68,70,67.6,67,98,93.8,84,5,3.6,2,26.8,26.8,26.7,0.08
14,76,71.3,67,71,68.0,66,96,89.6,76,5,3.0,2,26.9,26.8,26.7,0.46
15,80,72.1,67,70,68.0,66,96,87.4,73,7,4.1,2,26.9,26.8,26.7,0.02
16,78,72.8,69,71,69.0,67,95,88.3,78,6,3.9,3,26.8,26.7,26.7,0.07
17,76,71.8,70,71,69.5,68,96,92.3,87,6,4.7,2,26.8,26.7,26.7,0.05
18,74,70.1,67,69,67.6,66,96,91.8,83,7,4.6,3,26.8,26.7,26.6,0.2
19,75,71.3,68,68,66.9,66,96,86.5,74,9,5.3,3,26.8,26.7,26.7,0.12
20,79,73.0,67,69,67.3,65,92,82.6,71,7,4.8,2,26.8,26.8,26.7,0.0
21,79,73.4,68,72,69.4,66,95,87.3,77,5,3.3,2,26.8,26.8,26.7,0.0
22,83,76.3,71,73,70.8,70,100,83.5,63,10,4.4,2,26.9,26.8,26.8,0.0
23,81,74.8,71,70,68.6,67,93,81.6,67,5,3.3,2,26.9,26.9,26.8,0.0
24,84,76.0,69,69,66.6,65,91,74.4,54,7,4.3,2,26.9,26.8,26.8,0.04
25,82,74.9,68,69,67.8,67,96,79.1,63,7,3.8,0,26.9,26.8,26.8,0.0
26,81,74.5,69,69,67.8,66,96,80.5,66,7,4.0,2,26.9,26.8,26.8,0.0
27,78,72.4,69,72,69.0,67,98,89.9,77,7,3.8,2,26.9,26.8,26.8,0.0
28,81,72.8,69,74,69.3,67,95,89.3,77,7,4.1,2,26.9,26.8,26.8,0.2
29,82,74.5,69,70,68.9,67,95,84.3,67,7,5.4,2,26.9,26.8,26.7,0.63
30,83,75.5,70,72,70.5,69,100,85.5,68,6,4.1,2,26.9,26.8,26.8,0.0
31,81,74.6,70,73,69.9,67,95,86.1,72,6,3.6,2,26.9,26.8,26.7,0.02
