SL_NO,NAME_OF_STATIONS,2_WHEELER,4_WHEELER,CYCLES,LCV
1,Whitefield,204,0,10,0
2,Hope Farm Channasandra,120,0,10,0
3,Kadugodi Tree Park,140,0,10,0
4,Pattandur Agrahara,90,0,10,0
5,Nallur Halli,82,0,10,0
6,Kundalahalli,140,0,10,0
7,Seetharampalya,112,0,10,0
8,Hoodi,140,0,10,0
9,Singayyanapalya,70,0,10,0
10,K R Pura,530,0,10,0
11,K R Pura (2),210,0,10,0
12,Baiyappanahalli (RNR Side),500,270,10,0
13,Baiyappanahalli (OMR Side),215,72,10,0
14,S V Road,230,184,10,0
15,Indiranagar,110,0,10,0
16,Halasuru,34,16,10,0
17,Nadaprabhu Kempegowda (Majestic),260,36,10,0
18,City Railway 1,215,80,10,0
19,City Railway 2,331,25,10,0
20,Magadi Road,140,47,10,0
21,Hosahalli,186,0,10,0
22,Vijayanagar,160,0,10,0
23,Attiguppe,300,0,10,0
24,Deepanjalinagar,145,0,10,0
25,Mysore Road,790,240,10,10
26,Mysore Road (RSS Side),0,222,10,0
27,Mysore Road (Below Viaduct),300,50,10,0
28,Nayandahalli,470,0,10,0
29,Raja Rajeshwari Nagar,350,0,10,0
30,Jhana Bharathi,600,21,10,0
31,Pattanagere,156,0,10,0
32,Kengeri Bus Terminal,118,280,10,0
33,Kengeri,58,0,10,0
34,Challaghatta,175,0,10,0
35,Madavara,280,0,10,0
36,Chikkabidarakallu,355,0,10,0
37,Manjunathanagar,75,15,10,0
38,Nagasandra,130,112,10,0
39,Nagasandra 2,144,13,10,0
40,Dasarahalli,205,0,10,0
41,Jalahalli,120,52,10,0
42,Peenya Industry,380,83,10,0
43,Peenya,225,30,10,0
44,Sandal Soap Factory,311,0,10,0
45,Mahalakshmi A,0,80,10,9
46,Mahalakshmi B,225,106,10,9
47,Rajajinagar,165,19,10,0
48,Mahakavi Kuvempu Road,60,38,10,0
49,Srirampura,73,0,10,0
50,Near Mantri Square (Opposite to Apollo),750,100,10,0
51,Chickpete,230,100,10,0
52,Chickpete- 2,150,0,10,0
53,National college- A,120,35,10,0
54,National college- B,85,50,10,0
55,Jayanagar,330,10,10,0
56,Banashankari,290,61,10,0
57,J P Nagar,182,0,10,0
58,Yelachenahalli,412,61,10,0
59,Konanakunte Cross,320,0,10,0
60,Doddakallasandra,290,27,10,0
61,Vajarahalli,83,0,10,0
62,Thalaghattapura,83,0,10,0
63,Silk Institute,120,23,10,0
64,R.V. Road,223,0,10,0
65,Ragigudda,210,0,10,0
66,Jayadeva Hospital,120,20,10,0
67,BTM Layout,216,0,10,0
68,Central Silk Board,95,0,10,0
69,Bommanahalli,85,0,10,0
70,Hongasandra,155,0,10,0
71,Kudlu Gate,85,0,10,0
72,Singasandra,90,0,10,0
73,Hosa Road,90,0,10,0
74,Electronic City-1,270,36,10,0
75,Infosys Foundation Konnapana Agrahara,77,0,10,0
76,Biocon Hebbagodi,150,0,10,0
77,Delta Electronics Bommasandra,92,0,10,0
