day,line,service_type,origin_or_route,destination,start_time,end_time,frequency
Monday,Purple,Regular,Whitefield,,04:15,04:35,20
Monday,Purple,Regular,Whitefield,,04:35,05:00,13
Monday,Purple,Regular,Whitefield,,05:00,10:57,10
Monday,Purple,Regular,Whitefield,,10:57,15:21,8
Monday,Purple,Regular,Whitefield,,15:21,22:01,10
Monday,Purple,Regular,Whitefield,,22:01,22:45,15
Monday,Purple,Regular,Challaghatta,,04:15,04:35,20
Monday,Purple,Regular,Challaghatta,,04:35,05:15,15
Monday,Purple,Regular,Challaghatta,,05:15,06:54,11
Monday,Purple,Regular,Challaghatta,,06:54,12:20,10
Monday,Purple,Regular,Challaghatta,,12:20,16:45,8
Monday,Purple,Regular,Challaghatta,,16:45,23:05,10
Monday,Purple,Regular,Garudachar Palya,,06:53,10:55,5
Monday,Purple,Regular,Garudachar Palya,,16:10,20:10,5
Monday,Purple,Regular,Mysore Road,,07:22,10:20,5
Monday,Purple,Regular,Mysore Road,,16:53,21:02,5
Monday,Purple,Special service,Kempegowda,Whitefield,08:44,10:24,Avg of 3.3
Monday,Purple,Special service,Mysore Road,Garudachar Palya,07:48,09:01,10
Monday,Purple,Special service,Pattandur Agrahara,Mysore Road,15:56,19:56,5
Tuesday-Friday,Purple,Regular,Whitefield,,05:00,05:20,20
Tuesday-Friday,Purple,Regular,Whitefield,,05:20,10:57,10
Tuesday-Friday,Purple,Regular,Whitefield,,10:57,15:21,8
Tuesday-Friday,Purple,Regular,Whitefield,,15:21,22:01,10
Tuesday-Friday,Purple,Regular,Whitefield,,22:01,22:45,15
Tuesday-Friday,Purple,Regular,Challaghatta,,05:00,05:20,20
Tuesday-Friday,Purple,Regular,Challaghatta,,05:20,06:00,15
Tuesday-Friday,Purple,Regular,Challaghatta,,06:00,06:54,11
Tuesday-Friday,Purple,Regular,Challaghatta,,06:54,12:20,10
Tuesday-Friday,Purple,Regular,Challaghatta,,12:20,16:02,8
Tuesday-Friday,Purple,Regular,Challaghatta,,16:02,23:05,8
Tuesday-Friday,Purple,Regular,Garudachar Palya,,06:53,10:55,5
Tuesday-Friday,Purple,Regular,Garudachar Palya,,16:10,20:10,5
Tuesday-Friday,Purple,Regular,Mysore Road,,07:22,10:20,5
Tuesday-Friday,Purple,Regular,Mysore Road,,16:53,21:02,5
Tuesday-Friday,Purple,Special service,Kempegowda,wards Whitefield,08:44,10:24,Avg of 3.3
Tuesday-Friday,Purple,Special service,Mysore Road,Garudachar playa,07:48,09:01,10
Tuesday-Friday,Purple,Special service,Pattandur Agrahara,Mysore road,15:56,19:56,5
Saturday,Purple,Regular,Whitefield,,05:00,05:20,20
