station,MAE,Mean_Error,Mean_Actual,Count
Yeshwantpur,130.4412193253983,24.87053909745327,569.5348837209302,215
"Nadaprabhu Kempegowda Station, Majestic",116.69327689620644,4.1703726887356405,1409.5023255813953,215
Benniganahalli,103.69949073126149,-13.80327884097432,1135.3162790697675,215
Mahatma Gandhi Road,91.8353636347234,12.329267288428234,833.0976744186047,215
Krantivira Sangolli Rayanna Railway Station,90.52509189672595,8.862363482439934,501.71162790697673,215
Madavara,88.11087828063688,-0.06966974797636964,362.09767441860464,215
Krishnarajapura,84.9743746817112,20.066267027827195,804.706976744186,215
Baiyappanahalli,76.05566698423652,5.278961184690165,580.0,215
Chickpete,73.61643472965373,-26.216020367034645,670.1116279069768,215
"Dr. B. R. Ambedkar Station, Vidhana Soudha",72.48907222602257,26.820212931619135,477.75348837209305,215
Indiranagar,68.32849594650921,24.853771336775186,922.1162790697674,215
"Sir M. Visvesvaraya Stn., Central College",67.52704619531369,21.27342278460084,510.57674418604654,215
Banashankari,63.841445881578814,-21.139015183719092,547.4,215
Cubbon Park,63.10102241786067,12.034259371996619,596.8976744186047,215
Mantri Square Sampige Road,59.36716533426282,0.6671786615148533,701.7627906976744,215
Konanakunte Cross,54.76860115621672,-3.736566550059374,522.0651162790698,215
National College,54.38902254156595,2.0841763995761093,579.0883720930233,215
Sandal Soap Factory,53.64562498348397,-8.388811105663,491.15813953488373,215
Kadugodi Tree Park,52.928709419799404,10.836560314200645,521.6418604651162,215
Krishna Rajendra Market,50.22591770468063,-2.2140753335037897,431.68837209302325,215
Kundalahalli,48.433625764919576,16.893755332449842,351.6744186046512,215
Pattandur Agrahara,48.14837950246279,6.7240981301596,480.50697674418603,215
Trinity,47.96675251915964,10.228046303853219,527.1441860465117,215
Dasarahalli,46.65641082998278,-3.1274929731564467,502.69767441860466,215
Whitefield (Kadugodi),46.30273186533257,12.582753441881302,362.29767441860463,215
Pattanagere,45.63524064470169,-9.073400617824044,288.2418604651163,215
Mahalakshmi,45.50467146081893,-0.9523065319804604,398.8558139534884,215
Silk Institute,44.80781147469615,-6.250749938397907,350.6744186046512,215
Jalahalli,43.19667320740084,-1.5718913422420968,352.6372093023256,215
Seetharampalya,43.04080955647798,12.21187707322628,376.13488372093025,215
