datetime,Date,Hour,Station,demand,temp,rhum,prcp,wspd,pres,cldc,coco,day_of_week,is_weekend,is_public_holiday,is_major_city_event,is_working_day_proxy,is_day_before_public_holiday,is_day_after_public_holiday,demand_lag_1h,demand_lag_2h,demand_lag_3h,demand_lag_24h,demand_lag_168h,target_next_hour,rolling_mean_3h,rolling_mean_6h,rolling_mean_24h,day_of_week_num,month_num,hour_sin,hour_cos
2025-08-11 00:00:00,2025-08-11,0,Attiguppe,0,20.0,98,0.1,3.6,1011.6,7,7.0,Monday,0,0,0,1,0,0,,,,,,0.0,0.0,0.0,0.0,0,8,0.0,1.0
2025-08-11 01:00:00,2025-08-11,1,Attiguppe,0,19.3,98,0.2,14.0,1012.1,8,7.0,Monday,0,0,0,1,0,0,0.0,,,,,0.0,0.0,0.0,0.0,0,8,0.25881904510252074,0.9659258262890683
2025-08-11 02:00:00,2025-08-11,2,Attiguppe,0,19.6,97,0.9,14.4,1013.1,8,8.0,Monday,0,0,0,1,0,0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0,8,0.49999999999999994,0.8660254037844387
2025-08-11 03:00:00,2025-08-11,3,Attiguppe,0,20.2,96,0.5,3.6,1013.6,7,8.0,Monday,0,0,0,1,0,0,0.0,0.0,0.0,,,5.0,0.0,0.0,0.0,0,8,0.7071067811865476,0.7071067811865476
2025-08-11 04:00:00,2025-08-11,4,Attiguppe,5,22.0,84,0.0,16.9,1013.4,8,3.0,Monday,0,0,0,1,0,0,0.0,0.0,0.0,,,85.0,1.25,1.0,1.0,0,8,0.8660254037844386,0.5000000000000001
2025-08-11 05:00:00,2025-08-11,5,Attiguppe,85,23.7,77,0.0,16.9,1013.0,8,3.0,Monday,0,0,0,1,0,0,5.0,0.0,0.0,,,232.0,22.5,15.0,15.0,0,8,0.9659258262890683,0.25881904510252074
2025-08-11 06:00:00,2025-08-11,6,Attiguppe,232,23.8,85,0.0,5.4,1012.3,6,3.0,Monday,0,0,0,1,0,0,85.0,5.0,0.0,,,640.0,80.5,46.0,46.0,0,8,1.0,6.123233995736766e-17
2025-08-11 07:00:00,2025-08-11,7,Attiguppe,640,25.4,71,0.0,17.6,1011.7,8,3.0,Monday,0,0,0,1,0,0,232.0,85.0,5.0,,,1634.0,240.5,137.42857142857142,120.25,0,8,0.9659258262890683,-0.25881904510252063
2025-08-11 08:00:00,2025-08-11,8,Attiguppe,1634,25.2,70,0.0,19.4,1010.7,8,3.0,Monday,0,0,0,1,0,0,640.0,232.0,85.0,,,1901.0,647.75,370.85714285714283,288.44444444444446,0,8,0.8660254037844387,-0.4999999999999998
2025-08-11 09:00:00,2025-08-11,9,Attiguppe,1901,26.4,73,0.0,5.4,1009.8,6,3.0,Monday,0,0,0,1,0,0,1634.0,640.0,232.0,,,1209.0,1101.75,642.4285714285714,449.7,0,8,0.7071067811865476,-0.7071067811865475
2025-08-11 10:00:00,2025-08-11,10,Attiguppe,1209,24.7,70,0.0,16.9,1008.4,7,3.0,Monday,0,0,0,1,0,0,1901.0,1634.0,640.0,,,601.0,1346.0,815.1428571428571,518.7272727272727,0,8,0.49999999999999994,-0.8660254037844387
2025-08-11 11:00:00,2025-08-11,11,Attiguppe,601,24.7,68,0.0,18.4,1008.1,5,3.0,Monday,0,0,0,1,0,0,1209.0,1901.0,1634.0,,,379.0,1336.25,900.2857142857143,525.5833333333334,0,8,0.258819045102521,-0.9659258262890682
2025-08-11 12:00:00,2025-08-11,12,Attiguppe,379,24.2,89,0.0,5.4,1008.3,7,3.0,Monday,0,0,0,1,0,0,601.0,1209.0,1901.0,,,349.0,1022.5,942.2857142857143,514.3076923076923,0,8,1.2246467991473532e-16,-1.0
2025-08-11 13:00:00,2025-08-11,13,Attiguppe,349,23.3,75,0.0,14.0,1009.0,5,3.0,Monday,0,0,0,1,0,0,379.0,601.0,1209.0,,,313.0,634.5,959.0,502.5,0,8,-0.2588190451025208,-0.9659258262890683
2025-08-11 14:00:00,2025-08-11,14,Attiguppe,313,20.8,88,0.0,13.7,1011.1,8,3.0,Monday,0,0,0,1,0,0,349.0,379.0,601.0,,,302.0,410.5,912.2857142857143,489.8666666666667,0,8,-0.4999999999999997,-0.8660254037844388
2025-08-11 15:00:00,2025-08-11,15,Attiguppe,302,23.2,86,0.0,5.4,1011.9,7,3.0,Monday,0,0,0,1,0,0,313.0,349.0,379.0,,,304.0,335.75,722.0,478.125,0,8,-0.7071067811865471,-0.7071067811865479
2025-08-11 16:00:00,2025-08-11,16,Attiguppe,304,21.0,88,0.0,13.3,1012.2,8,3.0,Monday,0,0,0,1,0,0,302.0,313.0,349.0,,,303.0,317.0,493.85714285714283,467.88235294117646,0,8,-0.8660254037844385,-0.5000000000000004
2025-08-11 17:00:00,2025-08-11,17,Attiguppe,303,20.8,90,0.0,13.0,1012.7,8,3.0,Monday,0,0,0,1,0,0,304.0,302.0,313.0,,,314.0,305.5,364.42857142857144,458.72222222222223,0,8,-0.9659258262890683,-0.25881904510252063
2025-08-11 18:00:00,2025-08-11,18,Attiguppe,314,21.4,91,0.0,5.4,1012.7,7,3.0,Monday,0,0,0,1,0,0,303.0,304.0,302.0,,,334.0,305.75,323.42857142857144,451.10526315789474,0,8,-1.0,-1.8369701987210297e-16
2025-08-11 19:00:00,2025-08-11,19,Attiguppe,334,20.3,96,0.0,12.6,1012.0,8,3.0,Monday,0,0,0,1,0,0,314.0,303.0,304.0,,,217.0,313.75,317.0,445.25,0,8,-0.9659258262890684,0.2588190451025203
